"Nimble Payments by BBVA","Nimble Payments by BBVA"
"Card payment was rejected. Please try again.","Card payment was rejected. Please try again."
"Enabled/Disabled","Enabled/Disabled"
"Title","Title"
"<div><img style='height:4.9rem;' src='/skin/frontend/base/default/images/nimblepayments/nimble_bbva.svg' alt='Nimble logo'/></div><p>Need an <strong>Nimble Payments</strong> account?.<a class='button button-primary' href='https://www.nimblepayments.com/private/registration?utm_source=Magento_Settings&utm_medium=Referral%20Partners&utm_campaign=Creacion-Cuenta&partner=magento' target='_blank'>Signup now</a></p><hr />","<div><img style='height:4.9rem;' src='/skin/frontend/base/default/images/nimblepayments/nimble_bbva.svg' alt='Nimble logo'/></div><p>Need an <strong>Nimble Payments</strong> account?.<a class='button button-primary' href='https://www.nimblepayments.com/private/registration?utm_source=Magento_Settings&utm_medium=Referral%20Partners&utm_campaign=Creacion-Cuenta&partner=magento' target='_blank'>Signup now</a></p><hr />"
"Could not connect to the bank. Code ERR_PAG.","Could not connect to the bank. Code ERR_PAG."
"An error has occurred. Code ERR_PAG.","An error has occurred. Code ERR_PAG."
"Data invalid gateway to accept payments.","Data invalid gateway to accept payments."
"Pay safely with your credit card through the BBVA.","Pay safely with your credit card through the BBVA."
"Nimble Payments Transaction ID","Nimble Payments Transaction ID"
"Card payment","Card payment"
"Need an <strong>Nimble Payments</strong> account?.","Need an <strong>Nimble Payments</strong> account?."
"Signup now","Signup now"
